study_id,genome_accession,current_status,genome_label,biosample,route,resolved_assembly,source_url,note,downloaded,bytes,new_status,promoted,scale,contigs,bases,collision,strain_verified,resolved_organism
297c364c-b154-4edd-a7d5-68decf9effa2.4,2518285562,absent,Salinispora pacifica CNS055|Salinispora pacifica CNT148|Salinispora pacifica CNT569|Salinispora tropica CNB440|Salinispora tropica CNB476|Salinispora tropica CNB536|Salinispora tropica CNH898|Salinispora tropica CNT250,,strain_name,GCF_000374685.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/685/GCF_000374685.1_ASM37468v1/GCF_000374685.1_ASM37468v1_genomic.gbff.gz,"matched on strain label 'Salinispora pacifica CNS055', not an accession -- review",cached,13256251,sequence_ok,promoted,isolate_scale,62,5263298,,yes,Salinispora pacifica CNS055 (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,2524614807,absent,Salinispora pacifica CNS237|Salinispora pacifica CNT084|Salinispora pacifica CNT133|Salinispora pacifica CNT609|Salinispora pacifica CNY646,,strain_name,GCF_058448815.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/058/448/815/GCF_058448815.1_ASM5844881v1/GCF_058448815.1_ASM5844881v1_genomic.gbff.gz,"matched on strain label 'Salinispora pacifica CNS237', not an accession -- review || WRONG STRAIN: asked for 'CNS237', assembly is 'Salinispora mooreana' -- not promoted",cached,13514769,sequence_ok,skipped_wrong_strain,isolate_scale,73,5210670,,no,Salinispora mooreana (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,2814122978,absent,Salinispora arenicola CNH643|Salinispora arenicola CNH713|Salinispora arenicola CNH905|Salinispora arenicola CNH964|Salinispora arenicola CNS296|Salinispora arenicola CNS325|Salinispora arenicola CNS673|Salinispora arenicola CNS744|Salinispora arenicola CNS820|Salinispora arenicola CNS991|Salinispora arenicola CNT798|Salinispora arenicola CNT799|Salinispora arenicola CNT850|Salinispora arenicola CNY231|Salinispora arenicola CNY260|Salinispora arenicola CNY486|Salinispora arenicola CNY679|Salinispora arenicola CNY685|Salinispora pacifica CNS996|Salinispora tropica CNB440,,strain_name,GCF_059570735.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/735/GCF_059570735.1_ASM5957073v1/GCF_059570735.1_ASM5957073v1_genomic.gbff.gz,"matched on strain label 'Salinispora arenicola CNH643', not an accession -- review || COLLISION: same assembly also matched by 641228504 -- at most one is correct || CONFLICT: assembly also matched by 641228504, which names a different strain -- at most one is correct || WRONG STRAIN: asked for 'CNH643', assembly is 'Salinispora arenicola CNS820' -- not promoted || CONFLICT: assembly also matched by 641228504, which names a different strain -- at most one is correct",cached,14362184,sequence_ok,skipped_wrong_strain,isolate_scale,66,5606043,641228504,no,Salinispora arenicola CNS820 (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,641228504,absent,Salinispora arenicola CNS205,,strain_name,GCF_059570735.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/735/GCF_059570735.1_ASM5957073v1/GCF_059570735.1_ASM5957073v1_genomic.gbff.gz,"matched on strain label 'Salinispora arenicola CNS205', not an accession -- review || COLLISION: same assembly also matched by 2814122978 -- at most one is correct || CONFLICT: assembly also matched by 2814122978, which names a different strain -- at most one is correct || WRONG STRAIN: asked for 'CNS205', assembly is 'Salinispora arenicola CNS820' -- not promoted || CONFLICT: assembly also matched by 2814122978, which names a different strain -- at most one is correct",cached,14362184,sequence_ok,skipped_wrong_strain,isolate_scale,66,5606043,2814122978,no,Salinispora arenicola CNS820 (high G+C Gram-positive bacteria)
297c364c-b154-4edd-a7d5-68decf9effa2.4,GCA_000158975.1,absent,Streptomyces griseoflavus Tu4000|Streptomyces griseus|Streptomyces roseosporus|Streptomyces sp. CNB091|Streptomyces sp. CNQ525|Streptomyces sp. CNT360,SAMN02595302,assembly_accession,GCF_000158975.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/975/GCF_000158975.1_ASM15897v1/GCF_000158975.1_ASM15897v1_genomic.gbff.gz,,cached,19596759,sequence_ok,promoted,isolate_scale,1,8047042,,n/a,
297c364c-b154-4edd-a7d5-68decf9effa2.4,GCA_000365385.1,absent,Streptomyces sp. CNS615|Streptomyces sp. CNT302,SAMN02194547,assembly_accession,GCF_000365385.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/365/385/GCF_000365385.1_ASM36538v1/GCF_000365385.1_ASM36538v1_genomic.gbff.gz,,cached,17808471,sequence_ok,promoted,isolate_scale,69,7349627,,n/a,
297c364c-b154-4edd-a7d5-68decf9effa2.4,GCA_000377965.1,absent,Streptomyces sp. CNB091,SAMN02441673,assembly_accession,GCF_000377965.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/377/965/GCF_000377965.1_ASM37796v1/GCF_000377965.1_ASM37796v1_genomic.gbff.gz,,cached,20126948,sequence_ok,promoted,isolate_scale,50,8228950,,n/a,
297c364c-b154-4edd-a7d5-68decf9effa2.4,GCA_000424765.1,absent,Streptomyces sp. CNT318,SAMN02440809,assembly_accession,GCF_000424765.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/424/765/GCF_000424765.1_ASM42476v1/GCF_000424765.1_ASM42476v1_genomic.gbff.gz,,cached,17622846,sequence_ok,promoted,isolate_scale,59,7284201,,n/a,
297c364c-b154-4edd-a7d5-68decf9effa2.4,GCA_000702365.1,absent,Streptomyces sp. CNS654,SAMN02841233,assembly_accession,GCF_000702365.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/702/365/GCF_000702365.1_ASM70236v1/GCF_000702365.1_ASM70236v1_genomic.gbff.gz,,cached,20373441,sequence_ok,promoted,isolate_scale,84,8340747,,n/a,
472fea93-f603-40cc-beb1-ec2dbb24fb10.2,NZ_AHCD00000000.2,absent,Pseudoalteromonas rubra,SAMN02470921,unresolved,,,no assembly found for SAMN02470921[BioSample],,,no_route,skipped_not_sequence,,,,,n/a,
4b29ddc3-26d0-40d7-80c5-44fb6631dbf9.4,GCF_000016425.1,absent,Salinispora tropica CNB440|Salinispora tropica CNS197,,assembly_accession,GCF_000016425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/425/GCF_000016425.1_ASM1642v1/GCF_000016425.1_ASM1642v1_genomic.gbff.gz,,cached,13567557,sequence_ok,promoted,isolate_scale,1,5183331,,n/a,
4b29ddc3-26d0-40d7-80c5-44fb6631dbf9.4,GCF_000514635.1,absent,Salinispora arenicola CNH646|Salinispora arenicola CNP193|Salinispora arenicola CNQ748|Salinispora arenicola CNS205|Salinispora arenicola CNT005|Salinispora arenicola CNT849,,assembly_accession,GCF_000514635.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/635/GCF_000514635.1_ASM51463v1/GCF_000514635.1_ASM51463v1_genomic.gbff.gz,|| COLLISION: same assembly also matched by 2515154181 -- at most one is correct,cached,13374901,sequence_ok,promoted,isolate_scale,58,5400492,,n/a,
577a750e-50ac-4866-8881-3ad018f4848e.2,NZ_LGTG01000643.1,absent,Candidatus Burkholderia crenata,SAMN03838137,biosample,GCF_001190015.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/190/015/GCF_001190015.1_ASM119001v1/GCF_001190015.1_ASM119001v1_genomic.gbff.gz,,cached,9618630,sequence_ok,promoted,isolate_scale,643,2843741,,n/a,
6ad1d8ed-40e4-4417-9ca2-c9274efb5f9c.2,DS570624.1,metadata_only_no_contigs,Streptomyces clavuligerus,,con_gbwithparts,,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=nuccore&id=DS570624.1&rettype=gbwithparts&retmode=text,,cached,490953,sequence_ok,promoted,isolate_scale,1,247686,,n/a,
6ea72318-a62e-49e5-a335-074a20fe51cf.3,GCA_000087965.1,absent,Xalbi_1,SAMEA3138291,assembly_accession,GCF_000087965.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/087/965/GCF_000087965.2_ASM8796v1/GCF_000087965.2_ASM8796v1_genomic.gbff.gz,,cached,9748194,sequence_ok,promoted,isolate_scale,4,3852299,,n/a,
7280022c-c9df-43a3-9440-1653f9eaff84.3,JAHTGP000000000.1,absent,Streptomyces sp. MBT84,SAMN19969507,biosample,GCF_019505165.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/019/505/165/GCF_019505165.1_ASM1950516v1/GCF_019505165.1_ASM1950516v1_genomic.gbff.gz,,cached,24934647,sequence_ok,promoted,isolate_scale,3,10344466,,n/a,
79eae50e-004d-42ba-8a81-f6d620e7052a.2,GCA_002240395.1,not_genbank_error,Xanthomonas citri pv. mangiferaeindicae,SAMN05504068,assembly_accession,GCA_002240395.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/240/395/GCA_002240395.1_ASM224039v1/GCA_002240395.1_ASM224039v1_genomic.gbff.gz,,cached,8536014,sequence_ok,promoted,isolate_scale,1,3865165,,n/a,
7ac37e93-a737-4746-b121-0993adccf178.2,AZHW00000000.1,metadata_only_no_contigs,‘Candidatus Entotheonella factor’,SAMN02420412,biosample,GCF_000522425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/522/425/GCF_000522425.1_v3/GCF_000522425.1_v3_genomic.gbff.gz,,cached,14099528,metadata_only_no_contigs,skipped_not_sequence,isolate_scale,962,9695168,,n/a,
815c513e-8fc3-43a8-88b4-f4df1dd503f7.1,JAAHTH010000000,metadata_only_no_contigs,MH_79_12,SAMN13939990,biosample,GCA_011087705.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/087/705/GCA_011087705.1_ASM1108770v1/GCA_011087705.1_ASM1108770v1_genomic.gbff.gz,,cached,1737524261,sequence_ok,skipped_metagenome_scale,metagenome_scale,511903,466920000,,n/a,
84b56cd3-218b-4e57-906f-a9003615ed07.2,AZYY01,absent,Aphanizomenon flos-aquae NIES-81|Dolichospermum sp. UHCC 0090|Dolichospermum sp. UHCC 0260|Dolichospermum sp. UHCC 0299|Dolichospermum sp. UHCC 0315A|Dolichospermum sp. UHCC 0352|Dolichospermum sp. UHCC 0406,SAMN02485748,biosample,GCF_000521175.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/521/175/GCF_000521175.1_Aflos454contigs199p/GCF_000521175.1_Aflos454contigs199p_genomic.gbff.gz,,cached,14179785,sequence_ok,promoted,isolate_scale,103,5851275,,n/a,
84b56cd3-218b-4e57-906f-a9003615ed07.2,CP003284.1,absent,Dolichospermum sp. UHCC 0090|Dolichospermum sp. UHCC 0260|Dolichospermum sp. UHCC 0315A|Dolichospermum sp. UHCC 0352|Microcystis aeruginosa NIES-843|Microcystis aeruginosa NIES-88|Microcystis viridis NIES-102|Microcystis aeruginosa NIES-298,SAMN02604187 ,biosample,GCF_000312705.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/312/705/GCF_000312705.1_ASM31270v1/GCF_000312705.1_ASM31270v1_genomic.gbff.gz,,cached,12991868,sequence_ok,promoted,isolate_scale,5,5305675,,n/a,
84b56cd3-218b-4e57-906f-a9003615ed07.2,JXYX01,not_genbank_error,Microcystis aeruginosa NIES-88,SAMN03329508,biosample,GCF_001578075.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/578/075/GCF_001578075.1_ASM157807v1/GCF_001578075.1_ASM157807v1_genomic.gbff.gz,,cached,13933806,sequence_ok,promoted,isolate_scale,29,5263219,,n/a,
93f8edd3-c00d-4acf-b359-879b02850b46.1,PPXO00000000.1,metadata_only_no_contigs,Candidatus Entotheonella serta,SAMN08384467,biosample,GCA_002914425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/914/425/GCA_002914425.1_ASM291442v1/GCA_002914425.1_ASM291442v1_genomic.gbff.gz,,cached,35372382,sequence_ok,promoted,isolate_scale,3146,8973178,,n/a,
944b1725-47e2-4f4f-8d57-40fbf9dc4282.5,NC_000964.3,metadata_only_no_contigs,Bacillus subtilis subsp. subtilis str. 168,SAMEA3138188,biosample,GCF_964019285.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/019/285/GCF_964019285.1_ASM904v3/GCF_964019285.1_ASM904v3_genomic.gbff.gz,,cached,11490382,sequence_ok,promoted,isolate_scale,1,4215606,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,BAFR00000000.1,metadata_only_no_contigs,Nocardia araoensis NBRC 100135,,wgs_prefix,GCF_000308435.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/435/GCF_000308435.1_ASM30843v1/GCF_000308435.1_ASM30843v1_genomic.gbff.gz,,cached,20280000,sequence_ok,promoted,isolate_scale,352,7722536,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BAGG00000000.1,metadata_only_no_contigs,Nocardia takedensis NBRC 100417,,stub_dblink_assembly,GCF_000308695.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/308/695/GCF_000308695.1_ASM30869v1/GCF_000308695.1_ASM30869v1_genomic.gbff.gz,,cached,20385312,sequence_ok,promoted,isolate_scale,266,8033873,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDAX00000000.1,metadata_only_no_contigs,Nocardia alba NBRC 108234,,stub_dblink_assembly,GCF_001612665.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/665/GCF_001612665.1_ASM161266v1/GCF_001612665.1_ASM161266v1_genomic.gbff.gz,,cached,18038559,sequence_ok,promoted,isolate_scale,62,7282751,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDBM00000000.1,metadata_only_no_contigs,Nocardia gamkensis NBRC 108242,,stub_dblink_assembly,GCF_001612985.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/612/985/GCF_001612985.1_ASM161298v1/GCF_001612985.1_ASM161298v1_genomic.gbff.gz,,cached,19178166,sequence_ok,promoted,isolate_scale,120,7709792,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDBU00000000.1,metadata_only_no_contigs,Nocardia jejuensis NBRC 103114,,stub_dblink_assembly,GCF_001613145.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/613/145/GCF_001613145.1_ASM161314v1/GCF_001613145.1_ASM161314v1_genomic.gbff.gz,,cached,21086706,sequence_ok,promoted,isolate_scale,89,8654199,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDCA00000000.1,metadata_only_no_contigs,Nocardia vermiculata NBRC 100427,,stub_dblink_assembly,GCF_001613265.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/613/265/GCF_001613265.1_ASM161326v1/GCF_001613265.1_ASM161326v1_genomic.gbff.gz,,cached,16644647,sequence_ok,promoted,isolate_scale,80,6687976,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDCL00000000.1,metadata_only_no_contigs,Nocardia rhamnosiphila NBRC 108938,,stub_dblink_assembly,GCF_001613485.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/613/485/GCF_001613485.1_ASM161348v1/GCF_001613485.1_ASM161348v1_genomic.gbff.gz,,cached,19929363,sequence_ok,promoted,isolate_scale,120,7749274,,n/a,
a4837d37-1df1-4153-b365-c06841574235.3,NZ_BDCU00000000.1,metadata_only_no_contigs,Nocardia fusca NBRC 14340,,stub_dblink_assembly,GCF_001618425.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/425/GCF_001618425.1_ASM161842v1/GCF_001618425.1_ASM161842v1_genomic.gbff.gz,,cached,19787444,sequence_ok,promoted,isolate_scale,105,8036724,,n/a,
aa13b370-2bff-43aa-b0b1-5671716bdb5c.2,NC_023134.1,metadata_only_no_contigs,Paenibacillus larvae subsp. larvae DSM 25430,PRJNA224116,stub_dblink_assembly,GCF_000511405.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/405/GCF_000511405.1_ASM51140v1/GCF_000511405.1_ASM51140v1_genomic.gbff.gz,,cached,10468200,sequence_ok,promoted,isolate_scale,2,4056006,,n/a,
b11e7516-d407-4c28-987f-4f8f86a16c55.3,GCA_002941025,not_genbank_error,Streptomyces sp. QL37,SAMN08536093,assembly_accession,GCF_002941025.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/941/025/GCF_002941025.2_ASM294102v2/GCF_002941025.2_ASM294102v2_genomic.gbff.gz,,cached,21584060,sequence_ok,promoted,isolate_scale,2,8749625,,n/a,
c66bdb4d-ddad-4684-8dc4-12cf225930c5.2,NC_020990.1,metadata_only_no_contigs,Streptomyces albus J1074,,stub_dblink_assembly,GCF_000359525.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/525/GCF_000359525.1_ASM35952v1/GCF_000359525.1_ASM35952v1_genomic.gbff.gz,,cached,16951410,sequence_ok,promoted,isolate_scale,1,6841649,,n/a,
cc996566-f00b-4175-95d2-e684371c5f59.4,GCA_001854205.1,not_genbank_error,Moorea producens JHB,SAMN05826284,assembly_accession,GCF_001854205.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/854/205/GCF_001854205.1_ASM185420v1/GCF_001854205.1_ASM185420v1_genomic.gbff.gz,,cached,21452630,sequence_ok,promoted,isolate_scale,3,9384763,,n/a,
cc996566-f00b-4175-95d2-e684371c5f59.4,GCA_001942475.1,not_genbank_error,Moorea producens 3L,SAMN02471690,assembly_accession,GCF_001942475.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/942/475/GCF_001942475.1_ASM194247v1/GCF_001942475.1_ASM194247v1_genomic.gbff.gz,,cached,20321134,sequence_ok,promoted,isolate_scale,79,8371387,,n/a,
d0f1add5-5b16-4f78-9b93-0d1d9c9bcb59.1,JACONN000000000,absent,GUM007,SAMN13061032,biosample,GCA_014323675.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/323/675/GCA_014323675.1_ASM1432367v1/GCA_014323675.1_ASM1432367v1_genomic.gbff.gz,,cached,14342787,sequence_ok,promoted,isolate_scale,6,6406893,,n/a,
e26c5e21-e3de-4448-9623-a085cb71eca6.2,GCA_000981305.1,absent,Burkholderia cenocepacia K56-2,SAMN02045905,assembly_accession,GCF_000981305.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/981/305/GCF_000981305.1_ASM98130v1/GCF_000981305.1_ASM98130v1_genomic.gbff.gz,,cached,19875919,sequence_ok,promoted,isolate_scale,17,7813151,,n/a,
eaebc14f-4288-44e1-971a-b29ccb8a504f.3,GCA_000710405,not_genbank_error,Kitasatospora sp. MBT66,SAMN02570147,assembly_accession,GCF_000710405.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/405/GCF_000710405.2_KspMBT66_1.0/GCF_000710405.2_KspMBT66_1.0_genomic.gbff.gz,,cached,24429432,sequence_ok,promoted,isolate_scale,44,10382001,,n/a,
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,GCA_000717335.1,not_genbank_error,Amycolatopsis jejuensis NRRL B-24427,SAMN02645327,assembly_accession,GCF_000717335.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/717/335/GCF_000717335.1_ASM71733v1/GCF_000717335.1_ASM71733v1_genomic.gbff.gz,,cached,25306167,sequence_ok,promoted,isolate_scale,136,10103604,,n/a,
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,GCA_000721595.1,not_genbank_error,Streptomyces sp. NRRL S-325,SAMN02645517,assembly_accession,GCF_000721595.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/721/595/GCF_000721595.1_ASM72159v1/GCF_000721595.1_ASM72159v1_genomic.gbff.gz,,cached,18439525,sequence_ok,promoted,isolate_scale,53,7558826,,n/a,
f2f2d52e-72e5-4271-893e-97bca12d6eff.2,GCA_007363395.1,not_genbank_error,Streptomyces spectabilis Dietz NRRL 2792 (ATCC 27741),SAMN11997568,assembly_accession,GCF_007363395.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/007/363/395/GCF_007363395.1_ASM736339v1/GCF_007363395.1_ASM736339v1_genomic.gbff.gz,,cached,23263714,sequence_ok,promoted,isolate_scale,1,9505665,,n/a,
faafed8f-bcdc-4c56-b3b2-676e4d2ddcc6.3,JAACKE000000000,metadata_only_no_contigs,Streptomyces sp. MBT27,SAMN13901100,biosample,GCF_011751035.2,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/751/035/GCF_011751035.2_ASM1175103v2/GCF_011751035.2_ASM1175103v2_genomic.gbff.gz,,cached,20058025,sequence_ok,promoted,isolate_scale,2,8530179,,n/a,
