Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
A1R05	c__Gammaproteobacteria (UID4761)	52	693	297	0	692	1	0	0	0	100	0.08	0
A1R06	c__Gammaproteobacteria (UID4787)	26	752	296	0	750	2	0	0	0	100	0.34	0
A1R11	c__Gammaproteobacteria (UID4787)	26	752	296	0	750	2	0	0	0	100	0.34	0
A1R12	k__Bacteria (UID3060)	138	338	246	1	332	5	0	0	0	99.59	1.63	0
A2M03	s__algicola (UID2846)	47	571	303	1	566	4	0	0	0	99.67	1.04	0
A2M07	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.5	0
A2R01	c__Gammaproteobacteria (UID4444)	263	507	232	2	504	1	0	0	0	99.14	0.43	0
A2R05	f__Flavobacteriaceae (UID2845)	53	548	298	1	546	1	0	0	0	99.66	0.17	0
A2R07	f__Rhodobacteraceae (UID3360)	56	582	313	1	577	4	0	0	0	99.68	0.8	0
A2R16	o__Oceanospirillales (UID4446)	43	529	233	0	526	3	0	0	0	100	0.79	0
A2R20	c__Gammaproteobacteria (UID4444)	263	507	232	0	503	4	0	0	0	100	0.8	0
A3M03	s__algicola (UID2846)	47	571	303	1	566	4	0	0	0	99.67	1.04	0
A3M17	f__Rhodobacteraceae (UID3360)	56	582	313	3	579	0	0	0	0	99.25	0	0
A3R04	c__Gammaproteobacteria (UID4761)	52	693	297	1	687	5	0	0	0	99.97	1.08	0
A3R06	f__Rhodobacteraceae (UID3375)	32	625	283	1	623	1	0	0	0	99.65	0.18	0
A3R12	c__Gammaproteobacteria (UID4761)	52	693	297	0	693	0	0	0	0	100	0	0
A3R16	c__Gammaproteobacteria (UID4761)	52	693	297	1	686	6	0	0	0	99.66	1.25	0
AS12	s__algicola (UID2846)	47	571	303	2	567	2	0	0	0	99.34	0.38	0
AS13	c__Gammaproteobacteria (UID4761)	52	693	297	0	691	2	0	0	0	100	0.28	0
AS14	f__Rhodobacteraceae (UID3356)	67	616	330	5	608	3	0	0	0	98.64	0.35	0
AS16	o__Rhizobiales (UID3449)	345	431	258	0	425	6	0	0	0	100	1.45	0
AS2	o__Rhizobiales (UID3642)	107	484	316	2	479	3	0	0	0	99.58	0.53	0
AS21	o__Oceanospirillales (UID4446)	43	529	233	10	516	3	0	0	0	97.18	0.94	0
AS25	k__Bacteria (UID2982)	88	229	147	1	225	3	0	0	0	99.86	1.7	33.33
AS26	c__Gammaproteobacteria (UID4787)	26	752	296	0	751	1	0	0	0	100	0.17	0
AS38	f__Rhodobacteraceae (UID3356)	67	616	330	3	611	2	0	0	0	99.24	0.61	0
AS40	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.71	0
AS48	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.33	0
AS56	s__algicola (UID2846)	47	571	303	1	562	6	2	0	0	99.67	1.96	0
AS59	f__Rhodobacteraceae (UID3360)	56	582	313	2	579	1	0	0	0	99.36	0.32	0
AS60	o__Rhizobiales (UID3449)	345	431	258	0	426	5	0	0	0	100	1.45	0
AS62	o__Rhizobiales (UID3449)	345	431	258	1	426	4	0	0	0	99.61	0.85	0
AS69	k__Bacteria (UID2982)	88	229	147	0	227	2	0	0	0	100	0.57	50
AS71	c__Gammaproteobacteria (UID4787)	26	752	296	0	750	2	0	0	0	100	0.51	50
AS72	s__algicola (UID2846)	47	571	303	1	567	3	0	0	0	99.67	0.66	0
AS76	o__Oceanospirillales (UID4446)	43	529	233	1	525	3	0	0	0	99.57	1.29	0
AS80	c__Gammaproteobacteria (UID4787)	26	752	296	0	748	4	0	0	0	100	0.62	0
AS81	c__Gammaproteobacteria (UID4787)	26	752	296	0	748	4	0	0	0	100	0.84	0
AS82	o__Alteromonadales (UID4837)	30	868	324	2	864	2	0	0	0	99.84	0.62	0
AS84	c__Gammaproteobacteria (UID4787)	26	752	296	0	749	3	0	0	0	100	0.37	0
AS85	c__Gammaproteobacteria (UID4787)	26	752	296	0	750	2	0	0	0	100	0.22	0
AS88	c__Gammaproteobacteria (UID4761)	52	693	297	2	685	6	0	0	0	99.33	1.28	0
AS92	f__Rhodobacteraceae (UID3360)	56	582	313	1	581	0	0	0	0	99.68	0	0
AS94	s__algicola (UID2846)	47	571	303	26	540	5	0	0	0	94.9	1.2	0
AS95	c__Alphaproteobacteria (UID3422)	26	529	308	1	523	5	0	0	0	99.68	0.87	0
B1M15	s__algicola (UID2846)	47	571	303	4	562	5	0	0	0	98.68	1.04	0
B1R08	c__Gammaproteobacteria (UID4444)	263	507	232	2	505	0	0	0	0	99.14	0	0
B1R10	o__Alteromonadales (UID4837)	30	868	324	3	857	8	0	0	0	99.72	0.85	0
B1R15	o__Alteromonadales (UID4837)	30	868	324	3	857	8	0	0	0	99.72	0.85	0
B2M01	f__Flavobacteriaceae (UID2845)	53	548	298	9	351	168	15	5	0	97.32	37.81	1.23
B2M06	s__algicola (UID2846)	47	571	303	4	563	4	0	0	0	98.68	0.65	0
B2M13	c__Gammaproteobacteria (UID4444)	263	507	232	201	306	0	0	0	0	58.19	0	0
B2M14	f__Rhodobacteraceae (UID3340)	84	568	330	1	561	6	0	0	0	99.7	0.87	33.33
B2M17	f__Flavobacteriaceae (UID2845)	53	548	298	3	545	0	0	0	0	99.33	0	0
B2R03	c__Gammaproteobacteria (UID4442)	899	312	185	0	311	1	0	0	0	100	0.27	0
B2R04	f__Rhodobacteraceae (UID3375)	32	625	283	3	622	0	0	0	0	99.42	0	0
B2R08	o__Alteromonadales (UID4837)	30	868	324	3	858	7	0	0	0	99.68	0.32	0
B2R09	f__Rhodobacteraceae (UID3361)	46	654	332	1	650	3	0	0	0	99.85	0.68	0
B2R14	f__Flavobacteriaceae (UID2845)	53	548	298	1	544	3	0	0	0	99.66	0.67	0
B2R14_2	s__algicola (UID2846)	47	571	303	4	564	3	0	0	0	98.68	0.66	0
B2R22	f__Rhodobacteraceae (UID3356)	67	614	328	4	607	3	0	0	0	99.25	0.76	0
B3M02	c__Gammaproteobacteria (UID4442)	899	312	185	0	312	0	0	0	0	100	0	0
B3M03	f__Rhodobacteraceae (UID3340)	84	568	330	1	564	3	0	0	0	99.7	0.35	0
B3M08	f__Rhodobacteraceae (UID3360)	56	582	313	2	576	4	0	0	0	99.57	0.6	0
B3M10	c__Gammaproteobacteria (UID4444)	263	507	232	0	437	69	1	0	0	100	12.34	4.17
B3M12	f__Flavobacteriaceae (UID2845)	53	548	298	10	532	6	0	0	0	96.98	1.35	0
B3M18	f__Rhodobacteraceae (UID3356)	67	616	330	5	605	5	1	0	0	98.94	1.77	0
B3R02	c__Gammaproteobacteria (UID4761)	52	693	297	0	690	3	0	0	0	100	0.72	0
B3R02_2	c__Gammaproteobacteria (UID4761)	52	693	297	0	690	3	0	0	0	100	0.72	0
B3R09	f__Rhodobacteraceae (UID3360)	56	582	313	2	580	0	0	0	0	99.57	0	0
B3R10	c__Gammaproteobacteria (UID4761)	52	693	297	1	682	10	0	0	0	99.83	0.9	20
B3R15	c__Gammaproteobacteria (UID4761)	52	693	297	1	684	8	0	0	0	99.83	0.79	0
B3R18	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.33	0
C1M14	c__Gammaproteobacteria (UID4761)	52	693	297	2	685	6	0	0	0	99.93	1.29	0
C1R02	c__Gammaproteobacteria (UID4761)	52	693	297	1	688	4	0	0	0	99.97	0.32	0
C1R06	o__Oceanospirillales (UID4446)	43	529	233	2	524	2	1	0	0	99.14	1.72	0
C1R06_2	g__Staphylococcus (UID301)	45	940	178	4	935	1	0	0	0	99.51	0.08	0
C1R06_2_rep	g__Bacillus (UID901)	46	1082	303	6	1069	7	0	0	0	98.28	0.73	0
C1R08	c__Gammaproteobacteria (UID4444)	263	505	231	4	498	2	1	0	0	99.4	0.42	0
C2M01	f__Vibrionaceae (UID4865)	80	922	367	11	903	8	0	0	0	97.84	0.69	0
C2M04	c__Gammaproteobacteria (UID4442)	899	312	185	0	311	1	0	0	0	100	0.27	0
C2M04_2	c__Gammaproteobacteria (UID4442)	899	312	185	0	311	1	0	0	0	100	0.27	0
C2M11	c__Gammaproteobacteria (UID4761)	52	693	297	6	681	6	0	0	0	99.31	1.13	16.67
C2M19	c__Gammaproteobacteria (UID4761)	52	693	297	7	681	5	0	0	0	99.26	1.08	0
C2R02	c__Gammaproteobacteria (UID4761)	52	693	297	2	681	9	1	0	0	99.96	2.33	8.33
C2R07	c__Gammaproteobacteria (UID4761)	52	693	297	7	680	6	0	0	0	99.26	1.12	16.67
C2R07_2	f__Rhodobacteraceae (UID3340)	84	568	330	4	563	1	0	0	0	98.94	0.06	0
C2R09	f__Rhodobacteraceae (UID3340)	84	568	330	4	563	1	0	0	0	98.94	0.06	0
C2R11	o__Alteromonadales (UID4837)	30	868	324	3	859	6	0	0	0	99.68	0.42	16.67
C2R13	c__Gammaproteobacteria (UID4444)	263	507	232	2	504	1	0	0	0	99.14	0.43	0
C2R21	c__Gammaproteobacteria (UID4787)	26	752	296	0	748	4	0	0	0	100	0.43	0
C3M06	f__Rhodobacteraceae (UID3361)	46	654	332	4	646	4	0	0	0	99.25	0.45	0
C3M08	c__Gammaproteobacteria (UID4787)	26	752	296	0	748	4	0	0	0	100	0.43	0
C3M10	c__Gammaproteobacteria (UID4787)	26	752	296	0	748	4	0	0	0	100	0.43	0
C3M11	f__Flavobacteriaceae (UID2845)	53	548	298	1	545	2	0	0	0	99.66	0.34	0
C3R04	c__Gammaproteobacteria (UID4761)	52	693	297	7	681	5	0	0	0	99.26	1.08	0
C3R06	g__Bacillus (UID901)	46	1082	303	103	973	6	0	0	0	80.24	0.62	0
C3R06_2	g__Bacillus (UID901)	46	1082	303	6	1069	7	0	0	0	98.28	0.73	0
C3R10	c__Bacilli (UID257)	764	273	151	1	267	5	0	0	0	99.34	1.6	0
C3R12	g__Vibrio (UID4874)	71	1066	378	8	1053	5	0	0	0	98.62	0.23	0
C3R14	o__Alteromonadales (UID4837)	30	868	324	2	861	5	0	0	0	99.78	0.43	20
C3R15	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.44	0
C3R17	s__algicola (UID2846)	47	571	303	1	566	4	0	0	0	99.67	1.04	0
C3R19	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.33	0
D2M02	c__Gammaproteobacteria (UID4761)	52	693	297	5	684	4	0	0	0	98.99	0.86	0
D2M19	c__Gammaproteobacteria (UID4444)	263	507	232	0	502	5	0	0	0	100	0.72	0
D2M19_2	f__Rhodobacteraceae (UID3356)	67	616	330	5	607	4	0	0	0	98.64	0.86	0
D2R04	f__Rhodobacteraceae (UID3356)	67	616	330	5	607	4	0	0	0	98.64	0.86	0
D2R05	c__Gammaproteobacteria (UID4761)	52	693	297	0	688	5	0	0	0	100	1.39	0
D2R18	f__Rhodobacteraceae (UID3356)	67	615	329	2	610	3	0	0	0	99.39	0.91	0
D2R19	f__Rhodobacteraceae (UID3356)	67	615	329	2	610	3	0	0	0	99.39	0.91	0
D3M06	f__Moraxellaceae (UID4680)	86	689	365	1	677	11	0	0	0	99.93	2.12	9.09
D3M08	c__Gammaproteobacteria (UID4761)	52	693	297	2	688	3	0	0	0	99.84	0.62	0
D3M17	s__algicola (UID2846)	47	571	303	1	562	8	0	0	0	99.67	1.58	0
D3M17_2	c__Gammaproteobacteria (UID4444)	263	507	232	0	502	5	0	0	0	100	1.21	0
D3R04	o__Alteromonadales (UID4837)	30	868	324	3	861	4	0	0	0	99.48	0.2	0
D3R05	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.28	0
D3R11	f__Flavobacteriaceae (UID2845)	53	548	298	1	546	1	0	0	0	99.66	0.17	0
D3R19	s__algicola (UID2846)	47	571	303	1	566	4	0	0	0	99.67	1.04	0
DSS-3	f__Rhodobacteraceae (UID3360)	56	582	313	2	580	0	0	0	0	99.36	0	0
E2M01	c__Gammaproteobacteria (UID4761)	52	693	297	24	662	7	0	0	0	94.61	1.21	0
E2M05	o__Oceanospirillales (UID4446)	43	529	233	1	528	0	0	0	0	99.57	0	0
E2M18	f__Vibrionaceae (UID4865)	80	922	367	12	904	5	1	0	0	97.91	0.74	0
E2R12	c__Gammaproteobacteria (UID4761)	52	693	297	0	692	1	0	0	0	100	0.02	0
E2R20	k__Bacteria (UID203)	5449	104	58	1	67	33	3	0	0	98.28	35.62	4.76
E3M02	f__Rhodobacteraceae (UID3361)	46	654	332	4	645	5	0	0	0	99.25	0.6	0
E3M09	c__Gammaproteobacteria (UID4444)	263	507	232	2	461	44	0	0	0	99.14	10.83	2.27
E3M17	c__Gammaproteobacteria (UID4444)	263	507	232	0	504	3	0	0	0	100	0.95	0
E3M18	s__algicola (UID2846)	47	571	303	1	562	7	0	1	0	99.67	1.86	0
E3R01	f__Flavobacteriaceae (UID2845)	53	548	298	1	542	5	0	0	0	99.66	1.17	0
E3R09	s__algicola (UID2846)	47	571	303	2	563	6	0	0	0	99.34	0.84	0
E3R11	g__Vibrio (UID4874)	71	1067	378	15	1017	34	1	0	0	97.18	3.1	5.41
E3R18	o__Cytophagales (UID2936)	47	454	336	7	445	2	0	0	0	98.59	0.36	0
F1R01	o__Alteromonadales (UID4837)	30	868	324	3	857	8	0	0	0	99.72	0.85	0
F1R02	c__Gammaproteobacteria (UID4761)	52	693	297	6	681	6	0	0	0	99.31	1.12	16.67
F1R06	c__Gammaproteobacteria (UID4787)	26	752	296	0	750	2	0	0	0	100	0.34	0
F2M12	c__Gammaproteobacteria (UID4761)	52	693	297	2	689	2	0	0	0	99.84	0.28	0
F2M13	c__Gammaproteobacteria (UID4761)	52	693	297	2	687	4	0	0	0	99.84	0.37	0
F2R02	g__Vibrio (UID4874)	71	1066	378	1	1058	7	0	0	0	99.87	0.52	0
F2R05	g__Vibrio (UID4874)	71	1066	378	1	1058	7	0	0	0	99.87	0.52	0
F2R10	o__Oceanospirillales (UID4446)	43	529	233	2	524	3	0	0	0	99.14	0.9	0
F2R13	f__Rhodobacteraceae (UID3360)	56	582	313	1	573	8	0	0	0	99.68	2.08	12.5
F2R14	f__Rhodobacteraceae (UID3356)	67	616	330	5	601	9	1	0	0	98.64	2.17	0
F2R15	o__Oceanospirillales (UID4446)	43	529	233	1	526	2	0	0	0	99.57	0.64	0
F3M04	s__algicola (UID2846)	47	571	303	1	565	5	0	0	0	99.67	1.2	0
F3M06	c__Gammaproteobacteria (UID4761)	52	693	297	2	689	2	0	0	0	99.84	0.28	0
F3M07	c__Gammaproteobacteria (UID4761)	52	693	297	3	689	1	0	0	0	99.16	0.17	0
F3M13	c__Gammaproteobacteria (UID4761)	52	693	297	2	688	3	0	0	0	99.84	0.62	0
F3R08	c__Gammaproteobacteria (UID4761)	52	693	297	2	688	3	0	0	0	99.84	0.62	0
F3R11	c__Gammaproteobacteria (UID4444)	263	507	232	0	505	2	0	0	0	100	0.52	0
F3R18	f__Rhodobacteraceae (UID3356)	67	616	330	5	608	3	0	0	0	98.94	0.56	0
G1M02	c__Gammaproteobacteria (UID4442)	899	312	185	0	307	5	0	0	0	100	1.8	0
G1M14	c__Gammaproteobacteria (UID4761)	52	693	297	6	682	5	0	0	0	99.31	1.08	0
G1M15	f__Vibrionaceae (UID4865)	80	922	367	4	907	11	0	0	0	99.46	1.7	0
G2M05	f__Vibrionaceae (UID4865)	80	922	367	5	902	14	1	0	0	99.39	1.95	17.65
G2M07	c__Gammaproteobacteria (UID4444)	263	503	228	8	490	5	0	0	0	99.02	1.75	0
G2R05	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.66	0
G2R07	s__algicola (UID2846)	47	571	303	1	568	2	0	0	0	99.67	0.66	0
G2R10	g__Vibrio (UID4874)	71	1066	378	9	1049	8	0	0	0	99.79	0.78	0
G2R13	f__Rhodobacteraceae (UID3360)	56	582	313	1	577	4	0	0	0	99.68	0.8	0
G2R14	f__Rhodobacteraceae (UID3360)	56	582	313	1	577	4	0	0	0	99.68	0.8	0
G3M07	c__Gammaproteobacteria (UID4761)	52	693	297	6	681	6	0	0	0	99.31	1.13	16.67
G3M13	c__Gammaproteobacteria (UID4761)	52	693	297	0	687	6	0	0	0	100	1.14	0
G3M19	f__Rhodobacteraceae (UID3356)	67	616	330	5	608	3	0	0	0	98.94	0.56	0
G3R17	s__algicola (UID2846)	47	571	303	1	569	1	0	0	0	99.67	0.17	0
I1M13	f__Rhodobacteraceae (UID3360)	56	582	313	1	577	4	0	0	0	99.68	0.8	0
I1M15	o__Oceanospirillales (UID4446)	43	529	233	0	523	6	0	0	0	100	1.05	66.67
I1R14	c__Gammaproteobacteria (UID4787)	26	752	296	0	747	5	0	0	0	100	0.6	0
I2M02	f__Rhodobacteraceae (UID3356)	67	616	330	5	607	4	0	0	0	98.94	0.66	0
I2M11	c__Gammaproteobacteria (UID4267)	119	544	284	12	523	9	0	0	0	96.36	1.46	0
I2M14	c__Gammaproteobacteria (UID4444)	263	507	232	0	505	2	0	0	0	100	0.52	0
I2M16	o__Oceanospirillales (UID4446)	43	529	233	0	526	3	0	0	0	100	0.79	0
I2M17	c__Bacilli (UID256)	765	274	150	1	269	4	0	0	0	99.33	1.44	0
I2M19	s__algicola (UID2846)	47	571	303	3	563	5	0	0	0	99.01	1.04	0
I2R04	c__Gammaproteobacteria (UID4761)	52	693	297	4	682	7	0	0	0	98.94	1.54	0
I2R16	c__Gammaproteobacteria (UID4761)	52	693	297	1	684	8	0	0	0	99.83	0.79	0
I3M07	g__Vibrio (UID4874)	71	1066	378	1	1059	6	0	0	0	99.87	1.03	0
I3M08	c__Gammaproteobacteria (UID4761)	52	693	297	3	686	4	0	0	0	98.99	0.7	0
I3M17	o__Cytophagales (UID2936)	47	454	336	0	454	0	0	0	0	100	0	0
I3M17_2	c__Gammaproteobacteria (UID4444)	263	507	232	0	490	17	0	0	0	100	3.94	11.76
I3R07	o__Oceanospirillales (UID4446)	43	529	233	2	524	2	0	1	0	99.14	2.15	12.5
I3R17	g__Staphylococcus (UID301)	45	940	178	4	935	1	0	0	0	99.51	0.08	0
YB2	g__Vibrio (UID4874)	71	1067	378	4	1053	10	0	0	0	99.14	0.73	0
