study_id,genome_accession,current_status,genome_label,biosample,route,resolved_assembly,source_url,resolved_organism,strain_verified,note,collision,downloaded,bytes,new_status,promoted,scale,contigs,bases
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154126,absent,Salinispora pacifica CNT003,,unresolved,,,,,no assembly found for Salinispora pacifica CNT003,,,,no_route,skipped_not_sequence,,,
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154127,absent,Salinispora arenicola CNT857,,strain_name,GCF_000514955.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/955/GCF_000514955.1_ASM51495v1/GCF_000514955.1_ASM51495v1_genomic.gbff.gz,Salinispora arenicola CNT857 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT857', not an accession -- review",,yes,14291335,sequence_ok,promoted,isolate_scale,92,5712025
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154128,absent,Salinispora pacifica CNT855,,strain_name,GCF_000514855.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/855/GCF_000514855.1_ASM51485v1/GCF_000514855.1_ASM51485v1_genomic.gbff.gz,Salinispora pacifica CNT855 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT855', not an accession -- review",,yes,13140695,sequence_ok,promoted,isolate_scale,85,5208629
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154129,absent,Salinispora pacifica CNS103,,strain_name,GCF_000514795.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/795/GCF_000514795.1_ASM51479v1/GCF_000514795.1_ASM51479v1_genomic.gbff.gz,Salinispora pacifica CNS103 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNS103', not an accession -- review",,yes,14197453,sequence_ok,promoted,isolate_scale,122,5584369
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154135,absent,Salinispora arenicola CNT850,,strain_name,GCF_000514615.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/615/GCF_000514615.1_ASM51461v1/GCF_000514615.1_ASM51461v1_genomic.gbff.gz,Salinispora arenicola CNT850 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT850', not an accession -- review",,yes,13940629,sequence_ok,promoted,isolate_scale,67,5621922
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154137,absent,Salinispora arenicola CNX482,,strain_name,GCF_000514555.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/555/GCF_000514555.1_ASM51455v1/GCF_000514555.1_ASM51455v1_genomic.gbff.gz,Salinispora arenicola CNX482 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNX482', not an accession -- review",,yes,14299181,sequence_ok,promoted,isolate_scale,89,5711575
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154163,absent,Salinispora tropica CNS197,,strain_name,GCF_000514695.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/695/GCF_000514695.1_ASM51469v1/GCF_000514695.1_ASM51469v1_genomic.gbff.gz,Salinispora tropica CNS197 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora tropica CNS197', not an accession -- review",,yes,13188940,sequence_ok,promoted,isolate_scale,75,5236719
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154170,absent,Salinispora pacifica CNT854,,strain_name,GCF_000514835.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/835/GCF_000514835.1_ASM51483v1/GCF_000514835.1_ASM51483v1_genomic.gbff.gz,Salinispora pacifica CNT854 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT854', not an accession -- review",,yes,13511850,sequence_ok,promoted,isolate_scale,104,5315422
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154177,absent,Salinispora pacifica CNT029,,strain_name,GCF_058448855.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/058/448/855/GCF_058448855.1_ASM5844885v1/GCF_058448855.1_ASM5844885v1_genomic.gbff.gz,Salinispora oceanensis (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT029', not an accession -- review || WRONG STRAIN: asked for 'CNT029', assembly is 'Salinispora oceanensis' -- not promoted",,yes,15480620,sequence_ok,skipped_wrong_strain,isolate_scale,198,5799079
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154178,absent,Salinispora pacifica CNR114,,strain_name,GCF_000514775.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/775/GCF_000514775.1_ASM51477v1/GCF_000514775.1_ASM51477v1_genomic.gbff.gz,Salinispora pacifica CNR114 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNR114', not an accession -- review",,yes,14798951,sequence_ok,promoted,isolate_scale,99,5866896
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154180,absent,Salinispora arenicola CNQ748,,unresolved,,,,,no assembly found for Salinispora arenicola CNQ748,,,,no_route,skipped_not_sequence,,,
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154182,absent,Salinispora pacifica CNT796,,strain_name,GCF_000514735.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/735/GCF_000514735.1_ASM51473v1/GCF_000514735.1_ASM51473v1_genomic.gbff.gz,Salinispora pacifica CNT796 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT796', not an accession -- review",,yes,12890664,sequence_ok,promoted,isolate_scale,99,5073739
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154183,absent,Salinispora arenicola CNH905,,strain_name,GCF_000515035.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/035/GCF_000515035.1_ASM51503v1/GCF_000515035.1_ASM51503v1_genomic.gbff.gz,Salinispora arenicola CNH905 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH905', not an accession -- review",,yes,14205154,sequence_ok,promoted,isolate_scale,105,5667031
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154184,absent,Salinispora pacifica CNT001,,strain_name,GCF_000514535.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/535/GCF_000514535.1_ASM51453v1/GCF_000514535.1_ASM51453v1_genomic.gbff.gz,Salinispora pacifica CNT001 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT001', not an accession -- review",,yes,13781163,sequence_ok,promoted,isolate_scale,82,5492313
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154185,absent,Salinispora pacifica CNT603,,strain_name,GCF_000514415.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/415/GCF_000514415.1_ASM51441v1/GCF_000514415.1_ASM51441v1_genomic.gbff.gz,Salinispora pacifica CNT603 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT603', not an accession -- review",,yes,13508615,sequence_ok,promoted,isolate_scale,77,5395536
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154186,absent,Salinispora arenicola CNT798,,strain_name,GCF_000515015.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/515/015/GCF_000515015.1_ASM51501v1/GCF_000515015.1_ASM51501v1_genomic.gbff.gz,Salinispora arenicola CNT798 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT798', not an accession -- review",,yes,14027401,sequence_ok,promoted,isolate_scale,66,5657349
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154187,absent,Salinispora arenicola CNX891,,strain_name,GCF_000514935.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/935/GCF_000514935.1_ASM51493v1/GCF_000514935.1_ASM51493v1_genomic.gbff.gz,Salinispora arenicola CNX891 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNX891', not an accession -- review",,yes,14336589,sequence_ok,promoted,isolate_scale,92,5731186
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154188,absent,Salinispora arenicola CNX508,,strain_name,GCF_000514875.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/875/GCF_000514875.1_ASM51487v1/GCF_000514875.1_ASM51487v1_genomic.gbff.gz,Salinispora arenicola CNX508 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNX508', not an accession -- review",,yes,14095677,sequence_ok,promoted,isolate_scale,96,5632853
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154193,absent,Salinispora arenicola CNH941,,strain_name,GCF_000514915.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/915/GCF_000514915.1_ASM51491v1/GCF_000514915.1_ASM51491v1_genomic.gbff.gz,Salinispora arenicola CNH941 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNH941', not an accession -- review",,yes,14329102,sequence_ok,promoted,isolate_scale,73,5761497
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154194,absent,Salinispora pacifica CNR894,,strain_name,GCF_000514755.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/755/GCF_000514755.1_ASM51475v1/GCF_000514755.1_ASM51475v1_genomic.gbff.gz,Salinispora pacifica CNR894 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNR894', not an accession -- review",,yes,14016345,sequence_ok,promoted,isolate_scale,115,5518023
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154200,absent,Salinispora pacifica CNT131,,strain_name,GCF_000514475.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/475/GCF_000514475.1_ASM51447v1/GCF_000514475.1_ASM51447v1_genomic.gbff.gz,Salinispora pacifica CNT131 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT131', not an accession -- review",,yes,13961000,sequence_ok,promoted,isolate_scale,113,5527068
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154202,absent,Salinispora pacifica CNT084,,strain_name,GCF_000514495.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/495/GCF_000514495.1_ASM51449v1/GCF_000514495.1_ASM51449v1_genomic.gbff.gz,Salinispora pacifica CNT084 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT084', not an accession -- review",,yes,14067552,sequence_ok,promoted,isolate_scale,138,5471270
297c364c-b154-4edd-a7d5-68decf9effa2.4,2515154203,absent,Salinispora arenicola CNR921,,strain_name,GCF_000514595.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/595/GCF_000514595.1_ASM51459v1/GCF_000514595.1_ASM51459v1_genomic.gbff.gz,Salinispora arenicola CNR921 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNR921', not an accession -- review",,yes,13505926,sequence_ok,promoted,isolate_scale,47,5458536
297c364c-b154-4edd-a7d5-68decf9effa2.4,2516143022,absent,Salinispora arenicola CNS991,,strain_name,GCF_059570735.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/735/GCF_059570735.1_ASM5957073v1/GCF_059570735.1_ASM5957073v1_genomic.gbff.gz,Salinispora arenicola CNS820 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora arenicola CNS991', not an accession -- review || WRONG STRAIN: asked for 'CNS991', assembly is 'Salinispora arenicola CNS820' -- not promoted || CONFLICT: assembly also matched by 2548876909, 2565956528, 2814122978, 641228504, GCF_000018265.1, which names a different strain -- at most one is correct",2548876909|2565956528|2814122978|641228504|GCF_000018265.1,yes,14362184,sequence_ok,skipped_wrong_strain,isolate_scale,66,5606043
297c364c-b154-4edd-a7d5-68decf9effa2.4,2516493032,absent,Salinispora pacifica CNT138,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT138', not an accession -- review || WRONG STRAIN: asked for 'CNT138', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516653042, 2517287019, 2517287023, 2517434008, 2517572194, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516653042|2517287019|2517287023|2517434008|2517572194|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2516653042,absent,Salinispora pacifica CNT133,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT133', not an accession -- review || WRONG STRAIN: asked for 'CNT133', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2517287019, 2517287023, 2517434008, 2517572194, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516493032|2517287019|2517287023|2517434008|2517572194|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517287019,absent,Salinispora pacifica CNS960,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNS960', not an accession -- review || WRONG STRAIN: asked for 'CNS960', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2516653042, 2517287023, 2517434008, 2517572194, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516493032|2516653042|2517287023|2517434008|2517572194|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517287023,absent,Salinispora pacifica CNT148,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT148', not an accession -- review || WRONG STRAIN: asked for 'CNT148', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2516653042, 2517287019, 2517434008, 2517572194, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516493032|2516653042|2517287019|2517434008|2517572194|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517434008,absent,Salinispora pacifica CNT150,,strain_name,GCF_059570745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/059/570/745/GCF_059570745.1_ASM5957074v1/GCF_059570745.1_ASM5957074v1_genomic.gbff.gz,Salinispora pacifica CNY498 (high G+C Gram-positive bacteria),no,"matched on strain label 'Salinispora pacifica CNT150', not an accession -- review || WRONG STRAIN: asked for 'CNT150', assembly is 'Salinispora pacifica CNY498' -- not promoted || CONFLICT: assembly also matched by 2516493032, 2516653042, 2517287019, 2517287023, 2517572194, 2548876972, 2563366539, which names a different strain -- at most one is correct",2516493032|2516653042|2517287019|2517287023|2517572194|2548876972|2563366539,yes,14113795,sequence_ok,skipped_wrong_strain,isolate_scale,74,5455855
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572137,absent,Salinispora arenicola CNT005,,strain_name,GCF_000514895.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/514/895/GCF_000514895.1_ASM51489v1/GCF_000514895.1_ASM51489v1_genomic.gbff.gz,Salinispora arenicola CNT005 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNT005', not an accession -- review",,yes,14261374,sequence_ok,promoted,isolate_scale,67,5769669
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572152,absent,Salinispora arenicola CNX814,,strain_name,GCF_000375105.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/105/GCF_000375105.1_ASM37510v1/GCF_000375105.1_ASM37510v1_genomic.gbff.gz,Salinispora arenicola CNX814 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNX814', not an accession -- review",,yes,14240505,sequence_ok,promoted,isolate_scale,65,5688460
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572153,absent,Salinispora arenicola CNY011,,strain_name,GCF_000375125.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/125/GCF_000375125.1_ASM37512v1/GCF_000375125.1_ASM37512v1_genomic.gbff.gz,Salinispora arenicola CNY011 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY011', not an accession -- review",,yes,14361423,sequence_ok,promoted,isolate_scale,82,5722126
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572154,absent,Salinispora arenicola CNY280,,strain_name,GCF_000375205.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/205/GCF_000375205.1_ASM37520v1/GCF_000375205.1_ASM37520v1_genomic.gbff.gz,Salinispora arenicola CNY280 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY280', not an accession -- review",,yes,15278829,sequence_ok,promoted,isolate_scale,89,6066372
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572155,absent,Salinispora pacifica CNQ768,,strain_name,GCF_000375225.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/225/GCF_000375225.1_ASM37522v1/GCF_000375225.1_ASM37522v1_genomic.gbff.gz,Salinispora pacifica CNQ768 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNQ768', not an accession -- review",,yes,13993588,sequence_ok,promoted,isolate_scale,91,5480836
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572157,absent,Salinispora pacifica CNS996,,strain_name,GCF_000374745.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/745/GCF_000374745.1_ASM37474v1/GCF_000374745.1_ASM37474v1_genomic.gbff.gz,Salinispora pacifica CNS996 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNS996', not an accession -- review",,yes,14596389,sequence_ok,promoted,isolate_scale,113,5661283
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572158,absent,Salinispora pacifica CNT045,,strain_name,GCF_000374765.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/765/GCF_000374765.1_ASM37476v1/GCF_000374765.1_ASM37476v1_genomic.gbff.gz,Salinispora pacifica CNT045 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT045', not an accession -- review",,yes,14618044,sequence_ok,promoted,isolate_scale,80,5771968
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572159,absent,Salinispora pacifica CNT124,,strain_name,GCF_000374785.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/374/785/GCF_000374785.1_ASM37478v1/GCF_000374785.1_ASM37478v1_genomic.gbff.gz,Salinispora pacifica CNT124 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT124', not an accession -- review",,yes,12931178,sequence_ok,promoted,isolate_scale,47,5164130
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572160,absent,Salinispora pacifica CNT584,,strain_name,GCF_000375245.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/245/GCF_000375245.1_ASM37524v1/GCF_000375245.1_ASM37524v1_genomic.gbff.gz,Salinispora pacifica CNT584 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT584', not an accession -- review",,yes,13310925,sequence_ok,promoted,isolate_scale,79,5217717
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572161,absent,Salinispora pacifica CNT609,,strain_name,GCF_000375265.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/265/GCF_000375265.1_ASM37526v1/GCF_000375265.1_ASM37526v1_genomic.gbff.gz,Salinispora pacifica CNT609 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT609', not an accession -- review",,yes,13693650,sequence_ok,promoted,isolate_scale,95,5328928
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572162,absent,Salinispora pacifica CNT851,,strain_name,GCF_000375285.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/285/GCF_000375285.1_ASM37528v1/GCF_000375285.1_ASM37528v1_genomic.gbff.gz,Salinispora pacifica CNT851 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora pacifica CNT851', not an accession -- review",,yes,13527014,sequence_ok,promoted,isolate_scale,100,5263032
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572163,absent,Salinispora arenicola CNY237,,strain_name,GCF_000375305.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/375/305/GCF_000375305.1_ASM37530v1/GCF_000375305.1_ASM37530v1_genomic.gbff.gz,Salinispora arenicola CNY237 (high G+C Gram-positive bacteria),yes,"matched on strain label 'Salinispora arenicola CNY237', not an accession -- review",,yes,14334584,sequence_ok,promoted,isolate_scale,67,5713643
297c364c-b154-4edd-a7d5-68decf9effa2.4,2517572165,absent,Streptomyces sp. CNQ766,SAMN02440453,biosample,GCF_000377105.1,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/377/105/GCA_000377105.1_ASM37710v1/GCA_000377105.1_ASM37710v1_genomic.gbff.gz,Streptomycetaceae bacterium CNQ766 (high G+C Gram-positive bacteria),,,,yes,11072243,sequence_ok,promoted,isolate_scale,87,8474577
