cluster index	number of spectra	parent mass	RTMean_min	Compound_Name	MQScore	MZErrorPPM	SharedPeaks	Adduct	LibraryName	npclassifier_pathway	npclassifier_class
215	68	229.1548730151144	6.01859068627451	Proline 	0.731268	8566.11	6.0	2M+H	GNPS-LIBRARY.mgf	Amino acids and Peptides	Aminoacids|Dipeptides
217	72	230.24859534369563	9.56501087962963	Harmaline	0.874362	8168.77	6.0	[M+NH4]+	MONA.mgf	Alkaloids	Carboline alkaloids
218	16	231.1705633799233	6.038896875000001								
220	55	237.0864495942087	3.5516178787878787								
223	72	239.9667930603028	1.9351055555555556								
224	23	243.1343148272969	7.788784782608697								
225	60	245.1282760620116	8.021984166666664	cyclo(L-Phe-D-Pro)	0.846213	0.0622482	7.0	M+H	GNPS-LIBRARY.mgf		
228	50	254.1611322021484	3.3083113333333336								
230	72	258.2798724704319	10.59050648148148	Myristamine oxide	0.921674	0.354472	8.0	M+H	ECRFS_DB.mgf		
232	10	260.1968261718752	3.2038816666666667								
234	26	261.1234490810296	7.802248717948717	cyclo(Phe-4-Hyp)	0.754134	3.97358	9.0	M+H	GNPS-LIBRARY.mgf		
235	5	261.12654215494786	7.646763333333333	cyclo(Phe-4-Hyp)	0.836677	8.76525	7.0	M+H	GNPS-LIBRARY.mgf		
237	5	263.13994750976565	7.275436666666667								
238	72	265.01574283175995	1.975642361111111								
239	42	268.10450526646224	3.278952777777778	adenosine	0.916363	1.02445	7.0	[M+H]+	MSNLIB-POSITIVE.mgf	Carbohydrates	Purine nucleos(t)ides
242	16	269.0875930786132	3.613769791666667	Massbank:EQ330406 Adenosine|(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol	0.936481	3667.06	7.0	M+H	MASSBANK.mgf	Carbohydrates	Purine nucleos(t)ides
247	28	274.1761561802455	5.979233928571428								
248	70	274.274761672247	9.016611428571428	Massbank:LU030804 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol	0.8653	0.445067	7.0	M+H	MASSBANK.mgf	Fatty acids	Fatty alcohols|N-acyl ethanolamines (endocannabinoids)
255	17	283.1754976160386	7.0170901960784295								
256	30	284.0988342285156	3.6832083333333334	Guanosine	0.920414	3.75966	6.0	M+H	GNPS-LIBRARY.mgf		
259	1520	286.2202131283636	10.12193951388889								
272	61	291.2535412064016	13.924154918032787								
276	8	300.2023963928224	7.023891666666667								
281	880	304.2301118834744	9.23695508207071								
282	84	304.3010493687222	10.72220853174603	Benzododecinium	0.929151	0.802302	6.0	[M]+	MSNLIB-POSITIVE.mgf		
285	66	308.2802031545929	13.93361085858586								
291	15	318.12916259765643	6.896973333333333								
294	1956	328.26929716805745	9.305763479890935								
297	2	328.2708063895385	8.919575								
300	30	331.1973124186198	4.765285555555556								
302	14	332.3370012555806	11.969599999999998	Spectral Match to Benzyltetradecyldimethylammonium from NIST14	0.904505	18.2739	6.0	Cat	GNPS-NIST14-MATCHES.mgf		
304	71	335.2803275954556	13.806413145539905								
307	44	344.22773950750184	7.202539015151515								
309	1085	346.27714913286155	10.3290597875064	Methylthioethylamine_Octadecanal (known isomers: 0; isobaric peaks in run: 1)	0.84943	5642.58	6.0	[M+H]+	GNPS-ALKYLAMINES-LIBRARY.mgf	Fatty acids	
312	72	352.307147555881	13.78462453703704								
313	50	355.2635171508788	10.312180666666666								
318	84	359.19211687360485	4.39979007936508								
327	25	373.2747123209634	10.27486266666667	cholic acid	0.854692	0.163513	10.0	[M+H-2H2O]+	MSNLIB-POSITIVE.mgf	Terpenoids	Cholane steroids
329	68	379.3061900419347	13.680582352941176								
331	10	385.2446411132811	7.43356								
332	56	388.25452232360834	7.31814880952381	GALANTHAMINE HYDROBROMIDE	0.820862	4651.48	10.0	[M+Na]+	MONA.mgf	Alkaloids	Amarylidaceae alkaloids
339	72	396.33476003011066	13.641622916666668								
341	20	401.2895843505861	13.656521666666666								
344	9	403.31761112919565	13.80561111111111								
349	23	415.2538370325947	7.41738768115942								
353	12	419.2288258870445	7.637543055555555	223499-30-7	0.776455	1923.68	6.0	[M-H]-	MSNLIB-NEGATIVE.mgf	Alkaloids	
354	66	423.3326147830846	13.56548813131313								
359	24	428.2502466837565	7.073272222222221								
360	32	430.2294769287109	6.919080208333333								
367	67	432.2811311180911	7.409779104477612	3-[3-[3,4-dihydroxy-5-(6-oxo-3H-purin-9-yl)oxolan-2-yl]propanoyl]benzoic acid	0.71855	297.442	7.0	[M+NH4]+	MONA.mgf	Carbohydrates	Purine nucleos(t)ides
372	2	437.2373962402345	7.425299999999999								
377	34	440.2501597684972	7.148448039215689								
378	38	440.3609686065138	13.507320175438599								
379	35	440.3610275995164	13.51128857142857								
380	26	440.4112114539514	12.160013461538462								
381	26	440.4112114539514	12.163210256410256								
384	74	444.2977715569573	12.274798423423425								
389	11	447.3449577562735	13.6728								
395	23	450.3221333821615	10.639792028985509	Glycoursodeoxycholic acid	0.764497	0.745453	9.0	M+H	MCE-DRUG.mgf	Terpenoids	Cholane steroids
397	2	450.3245951334635	10.638166666666669								
398	2	450.3245951334635	10.655491666666668	Massbank:RP005403 Glycodeoxycholic acid|2-[[(4R)-4-[(3R,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic	0.815696	15.0446	16.0	M+H	MASSBANK.mgf	Terpenoids	Cholane steroids
402	4	456.24716186523455	7.069933333333334								
403	11	458.261513449929	7.097545454545455								
404	3	458.261983235677	7.145366666666666								
406	9	460.2406446668835	6.958146296296296								
407	30	466.3173789130317	9.163794999999999	Glycocholic acid	0.927966	2.61776	16.0	M+H	MCE-DRUG.mgf	Terpenoids	Cholane steroids
408	29	466.31719830392416	9.159022988505749	Glycocholic Acid	0.937409	0.850772	22.0	[M+H]+	MONA.mgf	Terpenoids	Cholane steroids
414	64	476.3078702290852	7.4841187499999995								
416	47	477.3329037064355	10.302983333333334								
420	3	481.2628343370227	7.48546111111111								
424	66	483.2501350171639	12.144965656565656								
427	72	484.3865271674262	13.378824768518518								
428	42	488.2349461146765	6.888661904761905								
432	39	491.37092420789935	13.54604017094017								
433	26	495.47210458608777	0.3266277777777778								
434	26	495.47210458608777	0.3266807692307692								
436	28	498.2896303449357	10.036334523809526	"""2-((R)-4-((3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid"""	0.877845	0.306224	18.0	M-H2O+H	BILELIB19.mgf	Terpenoids	Cholane steroids
437	28	498.28937421526217	10.038394047619049	(((3a,7a,12b)-3,7,12-trihydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid	0.752503	0.367469	11.0	M-H2O+H	BILELIB19.mgf	Terpenoids	Cholane steroids
441	13	500.3039112580128	12.266761538461534	Sodium taurochenodeoxycholate - 40.0 eV	0.737369	1.76894	8.0	Unknown	BIRMINGHAM-UHPLC-MS-POS.mgf		
442	12	500.3046680026585	12.273254166666668	TAURODEOXYCHOLIC ACID [CCS=211.46849060058594]	0.703067	0.792975	16.0	[M+H]+	GNPS-ION-MOBILITY-LIBRARY.mgf	Terpenoids	Cholane steroids
444	20	511.28753967285166	7.1861825								
456	63	520.334207201761	7.554918518518517								
458	16	522.2198028564453	7.1427125								
461	7	525.2877110072544	7.562092857142857								
462	9	525.287584092882	7.535703703703705								
467	44	526.396644823479	14.66938787878788								
468	31	527.2812539377522	6.653786021505377								
472	72	528.412105984158	13.27227013888889								
478	31	531.3508317188551	14.713866129032255								
479	31	533.3268130722867	10.04023978494624	TAUROCHOLIC ACID	0.724475	1.25887	16.0	M+NH4	MONA.mgf	Terpenoids	Cholane steroids|Cholestane steroids
480	30	533.3266269259983	10.041885555555554	(((3a,7a,12a)-3,7,12-trihydroxy-24-oxocholan-24-yl)amino)ethanesulfonic acid	0.759957	1.25887	15.0	M+NH4	BILELIB19.mgf	Terpenoids	Cholane steroids
481	32	533.3668378194172	13.3217421875								
482	37	534.3560230152027	9.214984684684685								
483	59	535.39607540497	13.443292372881357								
497	19	557.2940673828127	7.0862412280701745								
501	68	564.35963529699	7.610113480392158								
508	22	569.3156377618964	7.6055886363636365								
512	45	570.4226689091435	14.539940740740743								
515	72	572.4382375081381	13.17996435185185								
521	39	584.3046186398234	6.95292264957265								
527	24	586.3191121419271	7.208165277777778								
537	66	608.385561548098	7.650311363636364	dehydroxynocardamine	0.816376	1713.45	10.0	[M+Na]+	MONA.mgf	Alkaloids	
539	10	612.3341562906902	7.1591949999999995								
540	10	612.3341562906902	7.162394999999999								
541	16	612.3343187967937	7.280495833333333								
542	4	612.3375244140625	7.3357833333333335								
544	26	614.3504075270434	7.372823076923077								
545	49	614.4490946036619	14.426409863945576								
547	9	615.3084106445314	6.886790740740741								
548	6	615.3089701334637	6.869144444444444								
549	66	616.464305530895	13.088237373737373								
550	23	618.3256915548573	6.75876231884058								
551	23	618.3256915548573	6.761962318840582								
565	53	652.4107992304197	7.697251886792452								
570	46	658.4752396293312	14.3147268115942								
572	64	660.4901180267334	13.00075								
584	5	683.3471801757813	3.2963933333333335								
585	6	683.3714090983073	7.23843611111111								
588	48	696.436997519599	7.722023958333334								
593	16	705.3199310302736	7.2288218749999995								
598	40	740.463286336263	7.755456666666669								
600	12	743.3922593858507	7.393555555555556								
601	12	743.3922593858507	7.396761111111112								
609	9	756.3524644639755	6.715944444444447								
610	6	756.351081000434	6.7009694444444445								
617	15	783.4368733723958	6.763812222222222								
618	15	783.4368733723958	6.767015555555555								
619	32	784.4896697998049	7.7917499999999995								
627	8	811.3932876586916	6.781618750000001								
629	47	817.583477047318	10.320047872340426	"""(4R)-4-((3R,5S,7S,9S,10S,12S,13R,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid"""	0.886101	0.970492	11.0	2M+H	BILELIB19.mgf	Terpenoids	Cholane steroids
636	11	853.4515935724434	6.85103787878788								
639	11	871.450164794922	7.285636363636362								
649	6	906.4301215277776	6.716572222222223								
650	17	906.4289407169116	6.732869607843137								
652	18	922.4237026638456	6.675982407407407								
655	20	931.625521850586	9.235508333333334	"""((R)-4-((3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoyl)glycine"""	0.857336	1.44132	16.0	2M+H	BILELIB19.mgf	Terpenoids	Cholane steroids
662	8	938.421588897705	6.809033333333333								
663	8	938.421588897705	6.8122437499999995								
664	9	947.4477878146702	7.350314814814814								
665	6	947.4473368326824	7.339069444444443								
669	5	997.4572875976562	6.872249999999999								
670	7	1007.5140409923736	7.090440476190476								
671	9	1007.5150881166816	7.09577962962963								
675	9	1064.5347018771706	7.057996296296296								
677	9	1105.5736219618057	6.779498148148148								
678	9	1105.5736219618057	6.782714814814815								
679	9	1106.5596245659722	6.810203703703704								
680	9	1106.5596245659722	6.81341851851852								
682	13	1149.551729642428	6.999620512820512								
684	5	1150.541072591146	7.055836666666666								
687	6	1150.5406222873269	7.06278611111111								
690	6	1200.554158528646	7.535088888888889								
691	5	1200.5519531250002	7.538216666666668								
692	6	1216.5492960611982	7.47135277777778								
693	5	1216.5473876953129	7.469683333333335								
